,assay_chembl_id,molecule_chembl_id,standard_value,pIC50,canonical_smiles
0,CHEMBL944926,CHEMBL403296,160000.0,3.795880017344075,CCCCC(O)c1[nH]c2cc(C)c(C(=O)O)cc2c1CCc1ccccc1
1,CHEMBL944926,CHEMBL403297,170000.0,3.769551078621726,Cc1cc2c(CO)c(CCCCC(=O)O)n(CCc3ccccc3)c2cc1C(=O)O
2,CHEMBL944926,CHEMBL250740,380000.0,3.42021640338319,CCCCCc1c(CO)c2cc(C)c(C(=O)O)cc2n1CCc1ccccc1
3,CHEMBL944926,CHEMBL252273,490000.0,3.309803919971486,Cc1cc2[nH]c(C(=O)NCCC(=O)O)c(CCc3ccccc3)c2cc1C(=O)O
4,CHEMBL944926,CHEMBL252077,330000.0,3.4814860601221125,Cc1cc2[nH]c(C(O)CCCC(=O)O)c(CCc3ccccc3)c2cc1C(=O)O
5,CHEMBL976298,CHEMBL513072,14000.0,4.853871964321762,O=C(O)c1cc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)ccc1O
6,CHEMBL976298,CHEMBL472354,14000.0,4.853871964321762,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)cc1
7,CHEMBL976298,CHEMBL472355,15000.0,4.823908740944319,O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(Cl)c(C(F)(F)F)c3)C2=O)cc1
8,CHEMBL976298,CHEMBL511818,15000.0,4.823908740944319,O=C(O)c1ccccc1/C=C1\SC(=S)N(c2cccc(C(F)(F)F)c2)C1=O
9,CHEMBL976298,CHEMBL512017,15000.0,4.823908740944319,O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)cc1
10,CHEMBL976298,CHEMBL512539,18000.0,4.7447274948966935,O=C(O)c1ccccc1/C=C1\SC(=S)N(c2ccccc2C(F)(F)F)C1=O
11,CHEMBL976298,CHEMBL472528,19000.0,4.721246399047171,O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)c1
12,CHEMBL976298,CHEMBL470100,20000.0,4.698970004336019,O=C(O)c1ccccc1/C=C1\SC(=S)N(c2ccc(C(F)(F)F)cc2)C1=O
13,CHEMBL976298,CHEMBL470101,20000.0,4.698970004336019,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)ccc3Cl)C2=O)cc1
14,CHEMBL976298,CHEMBL513552,24000.0,4.619788758288394,O=C1/C(=C/c2ccc(O)cc2)SC(=S)N1c1cccc(C(F)(F)F)c1
15,CHEMBL976298,CHEMBL488016,25000.0,4.6020599913279625,O=C(O)c1cc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)ccc1O
16,CHEMBL976298,CHEMBL520739,28000.0,4.552841968657781,O=C1/C(=C/c2ccncc2)SC(=S)N1c1cccc(C(F)(F)F)c1
17,CHEMBL976298,CHEMBL486671,28000.0,4.552841968657781,O=C1/C(=C/c2ccc(O)c(O)c2O)SC(=S)N1c1cccc(C(F)(F)F)c1
18,CHEMBL976298,CHEMBL486672,29000.0,4.5376020021010435,O=C1/C(=C/c2ccc(S(=O)(=O)[O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+]
19,CHEMBL976298,CHEMBL521207,30000.0,4.522878745280337,O=C(O)COc1cccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)c1
