,assay_chembl_id,molecule_chembl_id,standard_value,pIC50,canonical_smiles
0,CHEMBL692724,CHEMBL690,1370.0,5.863279432843593,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
1,CHEMBL691976,CHEMBL11804,3000.0,5.522878745280337,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+]
2,CHEMBL692721,CHEMBL11891,1720.0,5.764471553092451,O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1.[Na+]
3,CHEMBL692721,CHEMBL276717,1290.0,5.889410289700751,Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+]
4,CHEMBL692721,CHEMBL503,39.0,7.4089353929735005,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
5,CHEMBL692725,CHEMBL162642,0.014,10.853871964321762,CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+]
6,CHEMBL692725,CHEMBL348798,0.002,11.698970004336019,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
7,CHEMBL692725,CHEMBL159951,0.018,10.744727494896694,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+]
8,CHEMBL692725,CHEMBL345375,6.0,8.221848749616356,Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
9,CHEMBL692725,CHEMBL159103,5.0,8.301029995663981,Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+]
10,CHEMBL692725,CHEMBL2375156,0.83,9.080921907623926,Cc1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+]
11,CHEMBL692725,CHEMBL163277,0.27,9.568636235841012,Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
12,CHEMBL692725,CHEMBL2375155,0.106,9.97469413473523,CC(C)c1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+]
13,CHEMBL692725,CHEMBL160102,0.05,10.301029995663981,CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
14,CHEMBL692725,CHEMBL161829,0.57,9.244125144327509,Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+]
15,CHEMBL687160,CHEMBL133834,1500.0,5.823908740944319,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C
16,CHEMBL687160,CHEMBL133434,1000.0,6.0,CC(=O)[C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC1C2=CCC2C(C)(C)[C@@H](O)CC[C@]12C
17,CHEMBL692727,CHEMBL74667,10000.0,5.0,CC(C)(O)CCCCc1cccc(/C=C/[C@]2(C)CC[C@@H](O)CC2)c1
18,CHEMBL692727,CHEMBL169046,300.0,6.522878745280337,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
19,CHEMBL692726,CHEMBL2368189,26.0,7.585026652029182,CC(C)c1nc(C2CCCCC2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
20,CHEMBL692726,CHEMBL2368185,18.0,7.7447274948966935,CC(C)c1nc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
21,CHEMBL692726,CHEMBL2368188,5.0,8.301029995663981,CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
22,CHEMBL692726,CHEMBL2368197,20.0,7.698970004336019,CC(C)c1nc(C(C)(C)C)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
23,CHEMBL692726,CHEMBL2111271,2000.0,5.698970004336019,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1
24,CHEMBL692726,CHEMBL2368190,4.8,8.318758762624412,CC(C)c1nc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1
25,CHEMBL692726,CHEMBL2368198,50.0,7.301029995663981,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1
26,CHEMBL692726,CHEMBL2111238,5000.0,5.301029995663981,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C\[C@@H]1C[C@@H](O)CC(=O)O1
27,CHEMBL692726,CHEMBL2111268,90.0,7.045757490560675,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
28,CHEMBL692726,CHEMBL2368199,5.0,8.301029995663981,CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
29,CHEMBL692726,CHEMBL156695,370.0,6.431798275933005,CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1
30,CHEMBL692726,CHEMBL2368200,10.0,8.0,CC(C)c1cc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
31,CHEMBL692726,CHEMBL2368205,20.0,7.698970004336019,Cc1ccc(C)c(-c2cc(-c3ccc(F)cc3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C(C)C)n2)c1
32,CHEMBL692726,CHEMBL2368194,150.0,6.823908740944319,COc1ccc(-c2cc(-c3ccccc3)nc(C(C)C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1
33,CHEMBL692726,CHEMBL2368202,7.5,8.1249387366083,CC(C)c1nc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
34,CHEMBL692726,CHEMBL2368191,9.5,8.022276394711152,CC(C)c1nc(C2CCCCC2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
35,CHEMBL692133,CHEMBL65037,110.0,6.958607314841775,CC(C)c1nn(-c2ccccn2)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-].[Na+]
