,assay_chembl_id,molecule_chembl_id,standard_value,pIC50,canonical_smiles
0,CHEMBL674637,CHEMBL68920,41.0,7.3872161432802645,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
1,CHEMBL674637,CHEMBL69960,170.0,6.769551078621726,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
2,CHEMBL677833,CHEMBL137635,9300.0,5.031517051446065,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12
3,CHEMBL674643,CHEMBL306988,500000.0,3.3010299956639813,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1
4,CHEMBL674643,CHEMBL66879,3000000.0,2.5228787452803374,O=C(O)/C=C/c1ccc(O)cc1
5,CHEMBL674643,CHEMBL77085,96000.0,4.017728766960432,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
6,CHEMBL674637,CHEMBL443268,5310.0,5.274905478918531,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21
7,CHEMBL674643,CHEMBL76979,264000.0,3.5783960731301687,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O
8,CHEMBL674643,CHEMBL76589,125.0,6.903089986991944,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1
9,CHEMBL674643,CHEMBL76904,35000.0,4.455931955649724,N#CC(C#N)=Cc1ccc(O)c(O)c1
10,CHEMBL674643,CHEMBL1009,900000.0,3.0457574905606752,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
11,CHEMBL674637,CHEMBL304271,0.45,9.346787486224656,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
12,CHEMBL674643,CHEMBL296407,10000.0,5.0,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
13,CHEMBL674643,CHEMBL309625,60000.0,4.221848749616356,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1
14,CHEMBL674643,CHEMBL77825,600000.0,3.221848749616356,COc1ccc(NN=C(C#N)C#N)cc1
15,CHEMBL674643,CHEMBL421877,850000.0,3.070581074285707,COc1cc(C=C(C#N)C#N)cc(OC)c1O
16,CHEMBL674643,CHEMBL310798,3000.0,5.522878745280337,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
17,CHEMBL677833,CHEMBL135592,8000.0,5.096910013008056,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1
18,CHEMBL674643,CHEMBL309866,1300000.0,2.886056647693163,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O
19,CHEMBL674643,CHEMBL77381,1360000.0,2.8664610916297826,N#C/C(=C/c1ccc[nH]1)C(=O)O
20,CHEMBL674643,CHEMBL76602,165000.0,3.7825160557860937,N#C/C(=C\c1ccc(O)cc1)C(=O)O
21,CHEMBL674643,CHEMBL77737,250000.0,3.6020599913279625,N#CC(C#N)=Cc1ccncc1
22,CHEMBL674643,CHEMBL308134,125000.0,3.9030899869919438,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1
23,CHEMBL677833,CHEMBL136491,14.0,7.853871964321762,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
24,CHEMBL674643,CHEMBL76557,625000.0,3.2041199826559246,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1
25,CHEMBL677833,CHEMBL336113,1000.0,6.0,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1
26,CHEMBL677833,CHEMBL133024,100.0,7.0,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
27,CHEMBL677833,CHEMBL344652,13350.0,4.874518734299406,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1
28,CHEMBL674643,CHEMBL77814,350000.0,3.4559319556497243,N#CC(C#N)=CNc1ccc(O)cc1
29,CHEMBL674643,CHEMBL47986,14000.0,4.853871964321762,O=CN/C=C/c1cc(O)ccc1O
30,CHEMBL677833,CHEMBL138125,238.0,6.623423042943488,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1
31,CHEMBL677833,CHEMBL137364,64.0,7.1938200260161125,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1
32,CHEMBL674643,CHEMBL308339,1400000.0,2.853871964321762,N#CC(C#N)=C1C(=O)NC(=O)NC1=O
33,CHEMBL674643,CHEMBL78174,430000.0,3.3665315444204134,N#CC(C#N)=Cc1ccc(C(=O)O)cc1
34,CHEMBL674637,CHEMBL302552,22.0,7.657577319177793,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1
35,CHEMBL674643,CHEMBL309598,13500.0,4.8696662315049934,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1
36,CHEMBL674637,CHEMBL67057,4.5,8.346787486224656,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21
37,CHEMBL677833,CHEMBL332096,508.0,6.294136287716081,Nc1ccc2ncnc(NCc3ccccc3)c2c1
38,CHEMBL674643,CHEMBL77387,450000.0,3.3467874862246565,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1
39,CHEMBL674637,CHEMBL432903,200.0,6.698970004336019,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C
40,CHEMBL674637,CHEMBL69964,210.0,6.6777807052660805,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1
41,CHEMBL674637,CHEMBL65848,1410.0,5.85078088734462,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21
42,CHEMBL674643,CHEMBL78184,833000.0,3.0793549985932125,N#C/C(=C\c1ccc(F)cc1)C(=O)O
43,CHEMBL674643,CHEMBL76985,47000.0,4.327902142064283,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O
